Name,Pos,Bats,Thr,Proj WAR,Med Years,Med Total,Med AAV
Tomoyuki Sugano,SP,R,R,0.858909,0,0,0
Joey Lucchesi,RP,L,L,0.122668,0,0,0
Tanner Rainey,RP,R,R,-0.12428,0,0,0
Hunter Strickland,RP,R,R,-0.28796,0,0,0
Nick Sandlin,RP,R,R,0.087183,0,0,0
Ian Hamilton,RP,R,R,0.303615,0,0,0
Tim Mayza,RP,L,L,0.146088,0,0,0
Michael Kopech,RP,R,R,0.117079,0,0,0
Paul Sewald,RP,R,R,0.072958,0,0,0
Scott Effross,RP,R,R,-0.01316,0,0,0
Austin Slater,LF/RF,R,R,0.247893,0,0,0
Luis Rengifo,2B/3B,S,R,1.209677,0,0,0
Ryan Borucki,RP,L,L,0,0,0,0
Alex Lange,RP,R,R,0.054171,0,0,0
Craig Kimbrel,RP,R,R,0,0,0,0
Lou Trivino,RP,R,R,0.10499,0,0,0
José Urquidy,SP,R,R,0.252389,0,0,0
Frankie Montas,SP,R,R,0,0,0,0
Liam Hendriks,RP,R,R,0.151756,0,0,0
Mitch Garver,C,R,R,0.65397,1,5000000,5000000
Donovan Solano,3B/1B,R,R,0,0,0,0
T.J. McFarland,RP,L,L,-0.01471,0,0,0
Rowdy Tellez,1B,L,L,0.336741,0,0,0
Spencer Turnbull,SP,R,R,0.554883,0,0,0
José Castillo,RP,L,L,0.166882,0,0,0
José Ureña,SP,R,R,0.147755,0,0,0
Joel Payamps,RP,R,R,0.031603,0,0,0
Kirby Yates,RP,L,R,0.341263,1,5000000,5000000
Jesse Winker,RF/LF,L,L,0.975831,0,0,0
Tayler Saucedo,RP,L,L,0.034733,0,0,0
Michael Tonkin,RP,R,R,0.025113,0,0,0
Dylan Moore,2B/3B/SS/OF,R,R,0.549956,0,0,0
Mike Clevinger,SP,R,R,0.148976,0,0,0
Christopher Morel,LF/RF,R,R,0.503576,0,0,0
David Robertson,RP,R,R,0.396975,0,0,0
Chas McCormick,CF/RF/LF,R,L,0.192215,0,0,0
Andrew McCutchen,RF/LF,R,R,0.132498,0,0,0
Wade Miley,SP,L,L,0.392545,0,0,0
Gary Sánchez,C,R,R,0.681247,1,5000000,5000000
Miguel Castro,RP,R,R,-0.04476,0,0,0
Scott McGough,RP,R,R,0.046153,0,0,0
JJ Bleday,RF/LF/CF,L,L,0.841135,0,0,0
Tony Gonsolin,SP,R,R,0,0,0,0
Manuel Margot,CF/LF/RF,R,R,-0.04031,0,0,0
Joe Ross,RP,R,R,0.069436,0,0,0
Enrique Hernández,3B/2B/OF,R,R,0.233912,1,5000000,5000000
Carlos Carrasco,SP,R,R,0.041899,0,0,0
Kyle Hart,SP,L,L,0.207177,0,0,0
Luke Jackson,RP,R,R,0.032906,0,0,0
Nate Pearson,SP,R,R,0.377584,0,0,0
Colin Poche,RP,L,L,-0.19347,0,0,0
Dan Altavilla,RP,R,R,-0.00365,0,0,0
Jose Iglesias,2B/SS/3B,R,R,0.389831,0,0,0
Wilmer Flores,1B,R,R,0.120928,0,0,0
Gregory Santos,RP,R,R,0.231183,0,0,0
Kendall Graveman,RP,R,R,-0.01372,0,0,0
John Brebbia,RP,L,R,0.16461,0,0,0
Garrett Hampson,2B/SS/OF,R,R,-0.06085,0,0,0
Tommy Kahnle,RP,R,R,0.110263,0,0,0
Thairo Estrada,2B,R,R,0.707947,0,0,0
Zach Eflin,SP,R,R,2.012656,1,15000000,15000000
José Leclerc,RP,R,R,0.147203,0,0,0
Chris Flexen,RP,R,R,0.068493,0,0,0
Austin Barnes,C,R,R,0.125254,0,0,0
Jorge Alfaro,C,R,R,-0.02137,0,0,0
Eli Morgan,RP,R,R,-0.19517,0,0,0
Richard Lovelady,RP,L,L,0.078296,0,0,0
Justin Turner,1B/DH,R,R,0.084987,0,0,0
Trent Thornton,RP,R,R,-0.01366,0,0,0
Andrew Heaney,SP,L,L,0.875229,0,0,0
Brendan Rodgers,2B,R,R,0.185551,0,0,0
Walker Buehler,SP,R,R,0.696484,0,0,0
Santiago Espinal,2B/3B/SS/OF,R,R,0.311892,0,0,0
Tyler Wade,2B/SS/OF,L,R,-0.03076,0,0,0
Ryan Pressly,RP,R,R,0.359957,0,0,0
Nathaniel Lowe,1B,L,R,0.708148,0,0,0
Chris Taylor,2B/3B/OF,R,R,-0.01861,0,0,0
Dylan Carlson,LF/RF/CF,S,L,0.355137,0,0,0
Gio Urshela,3B,R,R,0.342205,0,0,0
Austin Gomber,SP,L,L,0.983798,0,0,0
Jordan Romano,RP,R,R,0.380014,0,0,0
